Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	384.789306889	388.718786191	0.000	4462.585	3.9295	4462.585		fluff1
1	Spectrogram 1	1	384.789306889	388.718786191	0.000	4462.585	3.9295	4462.585		fluff1
2	Waveform 1	1	916.210061829	917.413429221	0.000	8000.000	1.2034	8000.000		fluff2
2	Spectrogram 1	1	916.210061829	917.413429221	0.000	8000.000	1.2034	8000.000		fluff2
3	Waveform 1	1	1078.770153344	1078.849997626	0.000	8000.000	0.0798	8000.000		o1
3	Spectrogram 1	1	1078.770153344	1078.849997626	0.000	8000.000	0.0798	8000.000		o1
4	Waveform 1	1	1078.913918674	1079.002639069	0.000	8000.000	0.0887	8000.000		o2
4	Spectrogram 1	1	1078.913918674	1079.002639069	0.000	8000.000	0.0887	8000.000		o2
5	Waveform 1	1	1079.029860100	1079.108498631	0.000	8000.000	0.0786	8000.000		o3
5	Spectrogram 1	1	1079.029860100	1079.108498631	0.000	8000.000	0.0786	8000.000		o3
6	Waveform 1	1	1131.602744855	1132.907337936	0.000	8000.000	1.3046	8000.000		fluff3
6	Spectrogram 1	1	1131.602744855	1132.907337936	0.000	8000.000	1.3046	8000.000		fluff3
7	Waveform 1	1	1389.627860187	1389.678269502	0.000	8000.000	0.0504	8000.000		m1
7	Spectrogram 1	1	1389.627860187	1389.678269502	0.000	8000.000	0.0504	8000.000		m1
8	Waveform 1	1	1389.766989897	1389.819415585	0.000	8000.000	0.0524	8000.000		m2
8	Spectrogram 1	1	1389.766989897	1389.819415585	0.000	8000.000	0.0524	8000.000		m2
9	Waveform 1	1	1389.912168726	1389.988790885	0.000	8000.000	0.0766	8000.000		m3
9	Spectrogram 1	1	1389.912168726	1389.988790885	0.000	8000.000	0.0766	8000.000		m3
10	Waveform 1	1	1390.081544025	1390.131953340	0.000	8000.000	0.0504	8000.000		m4
10	Spectrogram 1	1	1390.081544025	1390.131953340	0.000	8000.000	0.0504	8000.000		m4
11	Waveform 1	1	1422.028951318	1422.083393379	0.000	8000.000	0.0544	8000.000		l1
11	Spectrogram 1	1	1422.028951318	1422.083393379	0.000	8000.000	0.0544	8000.000		l1
12	Waveform 1	1	1422.212441226	1422.266883287	0.000	8000.000	0.0544	8000.000		m5
12	Spectrogram 1	1	1422.212441226	1422.266883287	0.000	8000.000	0.0544	8000.000		m5
13	Waveform 1	1	1422.710485262	1422.748796341	0.000	8000.000	0.0383	8000.000		l2
