Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	47.350390862	47.404052441	0.000	8000.000	0.0537	8000.000		m1
1	Spectrogram 1	1	47.350390862	47.404052441	0.000	8000.000	0.0537	8000.000	-52.85	m1
2	Waveform 1	1	47.410014838	47.490507207	0.000	8000.000	0.0805	8000.000		m2
2	Spectrogram 1	1	47.410014838	47.490507207	0.000	8000.000	0.0805	8000.000	-55.97	m2
3	Waveform 1	1	47.573980774	47.639567149	0.000	8000.000	0.0656	8000.000		m3
3	Spectrogram 1	1	47.573980774	47.639567149	0.000	8000.000	0.0656	8000.000	-52.37	m3
4	Waveform 1	1	47.758815102	47.812476681	0.000	8000.000	0.0537	8000.000		m4
4	Spectrogram 1	1	47.758815102	47.812476681	0.000	8000.000	0.0537	8000.000	-51.77	m4
5	Waveform 1	1	48.036066594	48.089728173	0.000	8000.000	0.0537	8000.000		m5
5	Spectrogram 1	1	48.036066594	48.089728173	0.000	8000.000	0.0537	8000.000	-50.91	m5
6	Waveform 1	1	50.438912857	50.477668442	0.000	8000.000	0.0388	8000.000		m6
6	Spectrogram 1	1	50.438912857	50.477668442	0.000	8000.000	0.0388	8000.000	-55.65	m6
7	Waveform 1	1	50.525367623	50.573066805	0.000	8000.000	0.0477	8000.000		m7
7	Spectrogram 1	1	50.525367623	50.573066805	0.000	8000.000	0.0477	8000.000	-63.03	m7
8	Waveform 1	1	53.455852853	53.610875193	0.000	8000.000	0.1550	8000.000		sq1
8	Spectrogram 1	1	53.455852853	53.610875193	0.000	8000.000	0.1550	8000.000	-64.96	sq1
9	Waveform 1	1	53.715217152	53.950731860	0.000	8000.000	0.2355	8000.000		sq2
9	Spectrogram 1	1	53.715217152	53.950731860	0.000	8000.000	0.2355	8000.000	-63.20	sq2
10	Waveform 1	1	54.117678995	54.311456920	0.000	8000.000	0.1938	8000.000		y1
10	Spectrogram 1	1	54.117678995	54.311456920	0.000	8000.000	0.1938	8000.000	-55.54	y1
11	Waveform 1	1	68.582454151	68.853743246	0.000	8000.000	0.2713	8000.000		-h1
11	Spectrogram 1	1	68.582454151	68.853743246	0.000	8000.000	0.2713	8000.000	-65.97	-h1
12	Waveform 1	1	69.706356547	69.760018126	0.000	8000.000	0.0537	8000.000		l1
12	Spectrogram 1	1	69.706356547	69.760018126	0.000	8000.000	0.0537	8000.000	-57.64	l1
13	Waveform 1	1	69.780886518	69.843491694	0.000	8000.000	0.0626	8000.000		m8
13	Spectrogram 1	1	69.780886518	69.843491694	0.000	8000.000	0.0626	8000.000	-62.62	m8
14	Waveform 1	1	69.861378887	69.926965261	0.000	8000.000	0.0656	8000.000		m9
14	Spectrogram 1	1	69.861378887	69.926965261	0.000	8000.000	0.0656	8000.000	-59.46	m9
15	Waveform 1	1	70.049194413	70.114780788	0.000	8000.000	0.0656	8000.000		m10
15	Spectrogram 1	1	70.049194413	70.114780788	0.000	8000.000	0.0656	8000.000	-63.16	m10
16	Waveform 1	1	70.311539911	70.371163888	0.000	8000.000	0.0596	8000.000		m11
16	Spectrogram 1	1	70.311539911	70.371163888	0.000	8000.000	0.0596	8000.000	-65.11	m11
17	Waveform 1	1	70.606678596	70.660340175	0.000	8000.000	0.0537	8000.000		m12
17	Spectrogram 1	1	70.606678596	70.660340175	0.000	8000.000	0.0537	8000.000	-62.21	m12
18	Waveform 1	1	70.681208567	70.734870146	0.000	8000.000	0.0537	8000.000		m13
18	Spectrogram 1	1	70.681208567	70.734870146	0.000	8000.000	0.0537	8000.000	-62.20	m13
19	Waveform 1	1	70.931629269	70.991253246	0.000	8000.000	0.0596	8000.000		m14
19	Spectrogram 1	1	70.931629269	70.991253246	0.000	8000.000	0.0596	8000.000	-64.68	m14
20	Waveform 1	1	77.043087102	77.096748682	0.000	8000.000	0.0537	8000.000		m15
20	Spectrogram 1	1	77.043087102	77.096748682	0.000	8000.000	0.0537	8000.000	-55.65	m15
21	Waveform 1	1	77.117617073	77.177241050	0.000	8000.000	0.0596	8000.000		m16
21	Spectrogram 1	1	77.117617073	77.177241050	0.000	8000.000	0.0596	8000.000	-55.19	m16
22	Waveform 1	1	94.184985090	97.351018255	0.000	8000.000	3.1660	8000.000		fluff1
22	Spectrogram 1	1	94.184985090	97.351018255	0.000	8000.000	3.1660	8000.000	-54.75	fluff1
23	Waveform 1	1	98.337795070	98.412325041	0.000	8000.000	0.0745	8000.000		cl1
23	Spectrogram 1	1	98.337795070	98.412325041	0.000	8000.000	0.0745	8000.000	-56.84	cl1
24	Waveform 1	1	98.820749282	98.886335656	0.000	8000.000	0.0656	8000.000		cl2
24	Spectrogram 1	1	98.820749282	98.886335656	0.000	8000.000	0.0656	8000.000	-62.51	cl2
25	Waveform 1	1	135.176467802	135.426888504	0.000	8000.000	0.2504	8000.000		y2
25	Spectrogram 1	1	135.176467802	135.426888504	0.000	8000.000	0.2504	8000.000	-49.43	y2
26	Waveform 1	1	135.638553622	135.677309207	0.000	8000.000	0.0388	8000.000		m17
26	Spectrogram 1	1	135.638553622	135.677309207	0.000	8000.000	0.0388	8000.000	-56.34	m17
27	Waveform 1	1	170.959794233	171.019418210	0.000	8000.000	0.0596	8000.000		l2
27	Spectrogram 1	1	170.959794233	171.019418210	0.000	8000.000	0.0596	8000.000	-52.66	l2
28	Waveform 1	1	172.238728534	172.310277306	0.000	8000.000	0.0715	8000.000		m18
28	Spectrogram 1	1	172.238728534	172.310277306	0.000	8000.000	0.0715	8000.000	-64.59	m18
29	Waveform 1	1	174.161601609	174.221225586	0.000	8000.000	0.0596	8000.000		cl3
29	Spectrogram 1	1	174.161601609	174.221225586	0.000	8000.000	0.0596	8000.000	-52.68	cl3
30	Waveform 1	1	206.880258126	206.942863301	0.000	8000.000	0.0626	8000.000		cl4
30	Spectrogram 1	1	206.880258126	206.942863301	0.000	8000.000	0.0626	8000.000	-57.89	cl4
31	Waveform 1	1	207.232039589	207.291663565	0.000	8000.000	0.0596	8000.000		cl5
31	Spectrogram 1	1	207.232039589	207.291663565	0.000	8000.000	0.0596	8000.000	-57.40	cl5
32	Waveform 1	1	207.634501432	207.694125408	0.000	8000.000	0.0596	8000.000		cl6
32	Spectrogram 1	1	207.634501432	207.694125408	0.000	8000.000	0.0596	8000.000	-55.49	cl6
33	Waveform 1	1	229.650655496	229.868283011	0.000	8000.000	0.2176	8000.000		-t1
33	Spectrogram 1	1	229.650655496	229.868283011	0.000	8000.000	0.2176	8000.000	-67.21	-t1
34	Waveform 1	1	237.428603479	237.473321461	0.000	8000.000	0.0447	8000.000		m19
34	Spectrogram 1	1	237.428603479	237.473321461	0.000	8000.000	0.0447	8000.000	-62.45	m19
35	Waveform 1	1	237.482265058	237.562757427	0.000	8000.000	0.0805	8000.000		m20
35	Spectrogram 1	1	237.482265058	237.562757427	0.000	8000.000	0.0805	8000.000	-61.06	m20
36	Waveform 1	1	238.000993656	238.081486024	0.000	8000.000	0.0805	8000.000		m21
36	Spectrogram 1	1	238.000993656	238.081486024	0.000	8000.000	0.0805	8000.000	-58.18	m21
37	Waveform 1	1	238.251414358	238.314019534	0.000	8000.000	0.0626	8000.000		m22
37	Spectrogram 1	1	238.251414358	238.314019534	0.000	8000.000	0.0626	8000.000	-60.35	m22
38	Waveform 1	1	253.744704520	253.801347298	0.000	8000.000	0.0566	8000.000		m23
38	Spectrogram 1	1	253.744704520	253.801347298	0.000	8000.000	0.0566	8000.000	-56.99	m23
39	Waveform 1	1	254.603289786	254.800048909	0.000	8000.000	0.1968	8000.000		wa1
39	Spectrogram 1	1	254.603289786	254.800048909	0.000	8000.000	0.1968	8000.000	-50.72	wa1
40	Waveform 1	1	257.029985748	257.307237239	0.000	8000.000	0.2773	8000.000		y3
40	Spectrogram 1	1	257.029985748	257.307237239	0.000	8000.000	0.2773	8000.000	-45.83	y3
41	Waveform 1	1	258.001856569	258.058499346	0.000	8000.000	0.0566	8000.000		cl7
41	Spectrogram 1	1	258.001856569	258.058499346	0.000	8000.000	0.0566	8000.000	-64.16	cl7
42	Waveform 1	1	258.237371277	258.294014055	0.000	8000.000	0.0566	8000.000		cl8
42	Spectrogram 1	1	258.237371277	258.294014055	0.000	8000.000	0.0566	8000.000	-60.23	cl8
43	Waveform 1	1	282.608669474	282.644443860	0.000	8000.000	0.0358	8000.000		m24
43	Spectrogram 1	1	282.608669474	282.644443860	0.000	8000.000	0.0358	8000.000	-63.24	m24
44	Waveform 1	1	282.704067837	282.739842223	0.000	8000.000	0.0358	8000.000		m25
44	Spectrogram 1	1	282.704067837	282.739842223	0.000	8000.000	0.0358	8000.000	-65.36	m25
45	Waveform 1	1	282.778597808	282.823315791	0.000	8000.000	0.0447	8000.000		m26
45	Spectrogram 1	1	282.778597808	282.823315791	0.000	8000.000	0.0447	8000.000	-66.14	m26
46	Waveform 1	1	282.912751756	282.969394534	0.000	8000.000	0.0566	8000.000		m27
