Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	1.878382132	1.936508198	0.000	11025.000	0.0581	11025.000		m
1	Spectrogram 1	1	1.878382132	1.936508198	0.000	11025.000	0.0581	11025.000	-59.85	m
2	Waveform 1	1	2.104767863	2.175130995	0.000	11025.000	0.0704	11025.000		m
2	Spectrogram 1	1	2.104767863	2.175130995	0.000	11025.000	0.0704	11025.000	-60.50	m
3	Waveform 1	1	2.276086794	2.325035060	0.000	11025.000	0.0489	11025.000		m
3	Spectrogram 1	1	2.276086794	2.325035060	0.000	11025.000	0.0489	11025.000	-61.16	m
4	Waveform 1	1	3.025607119	3.077614652	0.000	11025.000	0.0520	11025.000		l
4	Spectrogram 1	1	3.025607119	3.077614652	0.000	11025.000	0.0520	11025.000	-63.37	l
5	Waveform 1	1	15.758267886	15.807216152	0.000	11025.000	0.0489	11025.000		l
5	Spectrogram 1	1	15.758267886	15.807216152	0.000	11025.000	0.0489	11025.000	-72.27	l
6	Waveform 1	1	84.701881642	84.815074507	0.000	11025.000	0.1132	11025.000		sq
6	Spectrogram 1	1	84.701881642	84.815074507	0.000	11025.000	0.1132	11025.000	-70.63	sq
7	Waveform 1	1	85.757327350	85.882757282	0.000	11025.000	0.1254	11025.000		sq
7	Spectrogram 1	1	85.757327350	85.882757282	0.000	11025.000	0.1254	11025.000	-72.96	sq
8	Waveform 1	1	96.498413922	96.556539988	0.000	11025.000	0.0581	11025.000		c
8	Spectrogram 1	1	96.498413922	96.556539988	0.000	11025.000	0.0581	11025.000	-67.37	c
9	Waveform 1	1	96.559599254	96.620784587	0.000	11025.000	0.0612	11025.000		c
9	Spectrogram 1	1	96.559599254	96.620784587	0.000	11025.000	0.0612	11025.000	-65.52	c
10	Waveform 1	1	106.632232739	106.687299538	0.000	11025.000	0.0551	11025.000		m
10	Spectrogram 1	1	106.632232739	106.687299538	0.000	11025.000	0.0551	11025.000	-83.97	m
11	Waveform 1	1	106.873914803	106.935100135	0.000	11025.000	0.0612	11025.000		m
11	Spectrogram 1	1	106.873914803	106.935100135	0.000	11025.000	0.0612	11025.000	-73.99	m
12	Waveform 1	1	107.023818868	107.066648600	0.000	11025.000	0.0428	11025.000		m
12	Spectrogram 1	1	107.023818868	107.066648600	0.000	11025.000	0.0428	11025.000	-65.28	m
13	Waveform 1	1	107.152308066	107.210434132	0.000	11025.000	0.0581	11025.000		m
13	Spectrogram 1	1	107.152308066	107.210434132	0.000	11025.000	0.0581	11025.000	-63.94	m
14	Waveform 1	1	107.311389931	107.360338197	0.000	11025.000	0.0489	11025.000		m
14	Spectrogram 1	1	107.311389931	107.360338197	0.000	11025.000	0.0489	11025.000	-67.66	m
15	Waveform 1	1	107.461293996	107.507182996	0.000	11025.000	0.0459	11025.000		m
15	Spectrogram 1	1	107.461293996	107.507182996	0.000	11025.000	0.0459	11025.000	-72.41	m
16	Waveform 1	1	107.617316594	107.663205594	0.000	11025.000	0.0459	11025.000		m
16	Spectrogram 1	1	107.617316594	107.663205594	0.000	11025.000	0.0459	11025.000	-72.27	m
17	Waveform 1	1	107.761102126	107.813109659	0.000	11025.000	0.0520	11025.000		m
17	Spectrogram 1	1	107.761102126	107.813109659	0.000	11025.000	0.0520	11025.000	-67.16	m
18	Waveform 1	1	107.858998658	107.895709858	0.000	11025.000	0.0367	11025.000		m
18	Spectrogram 1	1	107.858998658	107.895709858	0.000	11025.000	0.0367	11025.000	-65.39	m
19	Waveform 1	1	107.898769124	107.947717391	0.000	11025.000	0.0489	11025.000		m
19	Spectrogram 1	1	107.898769124	107.947717391	0.000	11025.000	0.0489	11025.000	-68.62	m
20	Waveform 1	1	108.005843457	108.045613923	0.000	11025.000	0.0398	11025.000		m
20	Spectrogram 1	1	108.005843457	108.045613923	0.000	11025.000	0.0398	11025.000	-70.67	m
21	Waveform 1	1	108.067028789	108.109858522	0.000	11025.000	0.0428	11025.000		m
21	Spectrogram 1	1	108.067028789	108.109858522	0.000	11025.000	0.0428	11025.000	-73.15	m
22	Waveform 1	1	108.238347721	108.287295987	0.000	11025.000	0.0489	11025.000		m
22	Spectrogram 1	1	108.238347721	108.287295987	0.000	11025.000	0.0489	11025.000	-70.38	m
23	Waveform 1	1	108.366836919	108.424962985	0.000	11025.000	0.0581	11025.000		m
23	Spectrogram 1	1	108.366836919	108.424962985	0.000	11025.000	0.0581	11025.000	-72.30	m
24	Waveform 1	1	108.599341183	108.642170916	0.000	11025.000	0.0428	11025.000		m
24	Spectrogram 1	1	108.599341183	108.642170916	0.000	11025.000	0.0428	11025.000	-78.12	m
