Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	33.985389931	34.092464263	0.000	11025.000	0.1071	11025.000		m
1	Spectrogram 1	1	33.985389931	34.092464263	0.000	11025.000	0.1071	11025.000	-78.72	m
2	Waveform 1	1	34.116938396	34.205657128	0.000	11025.000	0.0887	11025.000		m
2	Spectrogram 1	1	34.116938396	34.205657128	0.000	11025.000	0.0887	11025.000	-77.48	m
3	Waveform 1	1	34.309672194	34.413687259	0.000	11025.000	0.1040	11025.000		m
3	Spectrogram 1	1	34.309672194	34.413687259	0.000	11025.000	0.1040	11025.000	-76.93	m
4	Waveform 1	1	35.144851985	35.245807783	0.000	11025.000	0.1010	11025.000		m
4	Spectrogram 1	1	35.144851985	35.245807783	0.000	11025.000	0.1010	11025.000	-80.68	m
5	Waveform 1	1	35.493608381	35.609860513	0.000	11025.000	0.1163	11025.000		m
5	Spectrogram 1	1	35.493608381	35.609860513	0.000	11025.000	0.1163	11025.000	-83.88	m
6	Waveform 1	1	185.835130235	185.887137768	0.000	11025.000	0.0520	11025.000		cl
6	Spectrogram 1	1	185.835130235	185.887137768	0.000	11025.000	0.0520	11025.000	-67.54	cl
7	Waveform 1	1	223.038868320	223.197950185	0.000	11025.000	0.1591	11025.000		l
7	Spectrogram 1	1	223.038868320	223.197950185	0.000	11025.000	0.1591	11025.000	-80.06	l
8	Waveform 1	1	223.947466493	224.033125959	0.000	11025.000	0.0857	11025.000		l
8	Spectrogram 1	1	223.947466493	224.033125959	0.000	11025.000	0.0857	11025.000	-75.42	l
9	Waveform 1	1	231.797528607	231.950491939	0.000	11025.000	0.1530	11025.000		l
9	Spectrogram 1	1	231.797528607	231.950491939	0.000	11025.000	0.1530	11025.000	-73.74	l
10	Waveform 1	1	232.418559734	232.574582332	0.000	11025.000	0.1560	11025.000		l
10	Spectrogram 1	1	232.418559734	232.574582332	0.000	11025.000	0.1560	11025.000	-72.63	l
11	Waveform 1	1	234.465201314	234.581453446	0.000	11025.000	0.1163	11025.000		l
11	Spectrogram 1	1	234.465201314	234.581453446	0.000	11025.000	0.1163	11025.000	-78.05	l
12	Waveform 1	1	234.648757312	234.820076243	0.000	11025.000	0.1713	11025.000		l
12	Spectrogram 1	1	234.648757312	234.820076243	0.000	11025.000	0.1713	11025.000	-76.27	l
13	Waveform 1	1	237.151237074	237.267489206	0.000	11025.000	0.1163	11025.000		l
13	Spectrogram 1	1	237.151237074	237.267489206	0.000	11025.000	0.1163	11025.000	-79.76	l
14	Waveform 1	1	240.357348505	240.473600637	0.000	11025.000	0.1163	11025.000		l
14	Spectrogram 1	1	240.357348505	240.473600637	0.000	11025.000	0.1163	11025.000	-81.60	l
